source,file,run,size,activity,ns
ncdc,ncdc_locationcategories.json,1,543,loading,31826
ncdc,ncdc_locationcategories.json,1,543,saving,26911
ncdc,ncdc_locationcategories.json,1,543,writing,1649226
json.org,json_eg5.json,1,873,reading,1457571
json.org,json_eg5.json,1,873,loading,30152
json.org,json_eg5.json,1,873,saving,32320
json.org,json_eg5.json,1,873,writing,1710178
json.org,json_eg3.json,1,602,reading,1142361
json.org,json_eg3.json,1,602,loading,33132
json.org,json_eg3.json,1,602,saving,19364
json.org,json_eg3.json,1,602,writing,1162212
gh,ffs_issues.json,2,38158,reading,53148670
gh,ffs_issues.json,2,38158,loading,62359
gh,ffs_issues.json,2,38158,saving,263789
gh,ffs_issues.json,2,38158,writing,33426489
gh,kmt.json,2,4979,reading,7169820
gh,kmt.json,2,4979,loading,63759
gh,kmt.json,2,4979,saving,87061
gh,kmt.json,2,4979,writing,4372968
gh,gh_licenses.json,2,2507,reading,3761642
gh,gh_licenses.json,2,2507,loading,70725
gh,gh_licenses.json,2,2507,saving,47015
gh,gh_licenses.json,2,2507,writing,3496120
synthetic,list2.json,2,25,reading,328027
synthetic,list2.json,2,25,loading,59368
synthetic,list2.json,2,25,saving,15653
synthetic,list2.json,2,25,writing,295622
ncdc,ncdc_gsom_sample.json,2,2867,reading,4962014
ncdc,ncdc_gsom_sample.json,2,2867,loading,31910
ncdc,ncdc_gsom_sample.json,2,2867,saving,54658
ncdc,ncdc_gsom_sample.json,2,2867,writing,5461916
penguin,rust.json,2,161726,reading,215927321
penguin,rust.json,2,161726,loading,33320
penguin,rust.json,2,161726,saving,494829
penguin,rust.json,2,161726,writing,36599544
gh,gh_apache2.json,2,12591,reading,17970846
gh,gh_apache2.json,2,12591,loading,42443
gh,gh_apache2.json,2,12591,saving,45065
gh,gh_apache2.json,2,12591,writing,3674980
fda,tobacco10.json,2,6567,reading,9211517
fda,tobacco10.json,2,6567,loading,35599
fda,tobacco10.json,2,6567,saving,43899
fda,tobacco10.json,2,6567,writing,4845655
penguin,bsd.json,2,5415,reading,8659453
penguin,bsd.json,2,5415,loading,30311
penguin,bsd.json,2,5415,saving,50286
penguin,bsd.json,2,5415,writing,4425868
ncdc,ncdc_07030.json,2,111,reading,430042
ncdc,ncdc_07030.json,2,111,loading,32769
ncdc,ncdc_07030.json,2,111,saving,12676
ncdc,ncdc_07030.json,2,111,writing,386001
synthetic,object.json,2,77,reading,433441
synthetic,object.json,2,77,loading,30659
synthetic,object.json,2,77,saving,10113
synthetic,object.json,2,77,writing,334920
ncdc,ncdc_ewr_station.json,2,191,reading,543377
ncdc,ncdc_ewr_station.json,2,191,loading,36086
ncdc,ncdc_ewr_station.json,2,191,saving,16358
ncdc,ncdc_ewr_station.json,2,191,writing,495083
rv,demons.json,2,194,reading,1168559
rv,demons.json,2,194,loading,53965
rv,demons.json,2,194,saving,14558
rv,demons.json,2,194,writing,512748
ncdc,ncdc_07030_stations.json,2,1476,reading,2291875
ncdc,ncdc_07030_stations.json,2,1476,loading,30728
ncdc,ncdc_07030_stations.json,2,1476,saving,35141
ncdc,ncdc_07030_stations.json,2,1476,writing,3322229
synthetic,object_null.json,2,95,reading,1098026
synthetic,object_null.json,2,95,loading,34631
synthetic,object_null.json,2,95,saving,14384
synthetic,object_null.json,2,95,writing,323291
fda,registrationlisting.json,2,3228,reading,4656929
fda,registrationlisting.json,2,3228,loading,31086
fda,registrationlisting.json,2,3228,saving,46268
fda,registrationlisting.json,2,3228,writing,3676269
gh,gh_mgree_events.json,2,168832,reading,232483649
gh,gh_mgree_events.json,2,168832,loading,68807
gh,gh_mgree_events.json,2,168832,saving,923005
gh,gh_mgree_events.json,2,168832,writing,126053495
ncdc,ncdc_locationcategories.json,2,543,reading,1001770
ncdc,ncdc_locationcategories.json,2,543,loading,45072
ncdc,ncdc_locationcategories.json,2,543,saving,30591
ncdc,ncdc_locationcategories.json,2,543,writing,1574812
fda,recall.json,2,22475,reading,31754935
fda,recall.json,2,22475,loading,32608
fda,recall.json,2,22475,saving,113304
fda,recall.json,2,22475,writing,20508232
json.org,json_eg5.json,2,873,reading,2200301
json.org,json_eg5.json,2,873,loading,34202
json.org,json_eg5.json,2,873,saving,32448
json.org,json_eg5.json,2,873,writing,1887955
